name,source,mime_type,labels,uploaded,uploaded_time,external_id,original_file_id,0
PH-ME-P-0156-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.690,,,
trainff.mp4,Cognite Data Fusion,video/mp4,,True,2024-01-08 15:43:34.695,,,
PH-ME-P-0151-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:13.672,,,
PH-25578-P-4110010-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.501,,,
PH-ME-P-0153-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:09.204,,,
PH-ME-P-0160-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.144,,,
PH-ME-P-0003-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:09.325,,,
PH-25578-P-4110006-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:10.106,,,
PH-ME-P-0004-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:09.424,,,
PH-ME-P-0152-001.pdf,Discovery,application/pdf,,True,2020-04-15 11:22:10.652,,,
PH-25578-P-4110119-001.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.124,,,
PH-ME-P-0156-002.pdf,Discovery,application/pdf,[{'external_id': 'Interactive engineering diagram'}],True,2020-04-15 11:22:10.695,,,
Processed-PH-ME-P-0160-001.svg,,image/svg+xml,,True,2020-06-02 13:56:28.644,processed-3136055771416774,3136055771416774,
Processed-PH-ME-P-0152-001.svg,,image/svg+xml,,True,2020-06-02 13:56:28.635,processed-1296220000699223,1296220000699223,
Processed-PH-ME-P-0156-001.svg,,image/svg+xml,,True,2020-06-02 13:56:39.628,processed-230063753840368,230063753840368,
Processed-PH-ME-P-0153-001.svg,,image/svg+xml,,True,2020-12-10 23:01:41.880,processed-3926322677018213,3926322677018213,
Processed-PH-25578-P-4110006-001.svg,,image/svg+xml,,True,2020-06-02 13:57:51.599,processed-8464982635913834,8464982635913834,
Processed-PH-ME-P-0156-002.svg,,image/svg+xml,,True,2020-06-02 13:56:49.911,processed-2694497441923100,2694497441923100,
Processed-PH-25578-P-4110010-001.svg,,image/svg+xml,,True,2020-06-02 13:56:43.045,processed-5652847071145087,5652847071145087,
