external_id,name,description,unit,compdev,location5,pointtype,convers,descriptor,digitalset,zero,filtercode,compdevpercent,compressing,tag,srcptid,displaydigits,recno,excdev,userreal2,userreal1,totalcode,ptclassname,typicalvalue,pointid,pointsource,location1,location2,location3,location4,shutdown,compmin,ptclassrev,scan,userint2,userint1,excdevpercent,archiving,instrumenttag,compmax,ptclassid,squareroot,sourcetag,excmin,exdesc,future,excmax,step,engunits,span
pi:160627,VAL_23-PDT-92501:X.Value,PH 1stStgSuctCool Gas In ESDV,,0,2,Float32,1,PH 1stStgSuctCool Gas In ESDV,,0,0,0,0,VAL_23-PDT-92501:X.Value,0,-5,145127,0,0,0,0,classic,50,160627,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDT-92501:X.Value,3600,2,0,,0,,0,0,0,,100
pi:161021,VAL_23-YA-96118-02:Z.X.Value,PH 1stStg Gear1 Journ BRG NDE,,0,0,Float32,1,PH 1stStg Gear1 Journ BRG NDE,,0,0,0,0,VAL_23-YA-96118-02:Z.X.Value,0,-5,145521,0,0,0,0,classic,50,161021,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96118-02:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160252,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),,0,0,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ 51-protection (trip 3I>),Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_OC_low stage_NOC3low:VALUE,0,-5,144752,0,0,0,0,classic,0,160252,LAB-WAS-VAL3P,1,2,1,1,0,0,1,0,0,0,0,1,23-KA-9101-M01_OC_low stage_NOC3low:VALUE,28800,2,0,,0,,0,600,1,,1
pi:160731,VAL_23-PT-96186:Z.X1.Value,PH 1st Stg Oil Header,,0,2,Float32,1,PH 1st Stg Oil Header,,0,0,0,0,VAL_23-PT-96186:Z.X1.Value,0,-5,145231,0,0,0,0,classic,50,160731,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96186:Z.X1.Value,3600,2,0,,0,,0,0,0,,100
pi:160031,VAL_23_FIC_92543_02:Z.X.Value,PH 1stStgComp AntSrg Act CntrlMod,,0,2,Float32,1,PH 1stStgComp AntSrg Act CntrlMod,,0,0,0,0,VAL_23_FIC_92543_02:Z.X.Value,0,-5,144531,0,0,0,0,classic,50,160031,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_02:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:161024,VAL_23-YA-96120-01:Z.X.Value,PH 1stStg Gear2 Journ BRG DE,,0,0,Float32,1,PH 1stStg Gear2 Journ BRG DE,,0,0,0,0,VAL_23-YA-96120-01:Z.X.Value,0,-5,145524,0,0,0,0,classic,50,161024,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-YA-96120-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160920,VAL_23-TT-96115-01:Z.X.Value,PH 1stStg Gear Thrust BRG IN,,0,0,Float32,1,PH 1stStg Gear Thrust BRG IN,,0,0,0,0,VAL_23-TT-96115-01:Z.X.Value,0,-5,145420,0,0,0,0,classic,50,160920,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96115-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160574,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,,0,2,Float32,1,PH (Profiler) Shutdown Channel 0 - Tube y Setpoint,,0,0,0,0,VAL_23-LY-92529_SILch0_SC0_TYSP:VALUE,0,-5,145074,0,0,0,0,classic,50,160574,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_SILch0_SC0_TYSP:VALUE,3600,2,0,,0,,0,0,0,,100
pi:160061,VAL_23_FT_92537_03:Z.X.Value,PH 1stStgComp Flow,,0,2,Float32,1,PH 1stStgComp Flow,,0,0,0,0,VAL_23_FT_92537_03:Z.X.Value,0,-5,144561,0,0,0,0,classic,50,160061,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FT_92537_03:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160060,VAL_23_FT_92537_02:Z.X.Value,PH 1stStgComp Discharge,,0,2,Float32,1,PH 1stStgComp Discharge,,0,0,0,0,VAL_23_FT_92537_02:Z.X.Value,0,-5,144560,0,0,0,0,classic,50,160060,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FT_92537_02:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160072,VAL_23_PIC_92538_02:Z.X.Value,PH 1stStgComp STV Perf Act CtrlMod,,0,2,Float32,1,PH 1stStgComp STV Perf Act CtrlMod,,0,0,0,0,VAL_23_PIC_92538_02:Z.X.Value,0,-5,144572,0,0,0,0,classic,50,160072,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_PIC_92538_02:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160919,VAL_23-TT-96114-03:Z.X.Value,PH 1stStg Gear2 Journ BRG DE,,0,0,Float32,1,PH 1stStg Gear2 Journ BRG DE,,0,0,0,0,VAL_23-TT-96114-03:Z.X.Value,0,-5,145419,0,0,0,0,classic,50,160919,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96114-03:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:160623,VAL_23-PDI-96249:X.Value,PH 1st Stg Comp Over Inner Seal,,0,2,Float32,1,PH 1st Stg Comp Over Inner Seal,,0,0,0,0,VAL_23-PDI-96249:X.Value,0,-5,145123,0,0,0,0,classic,50,160623,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDI-96249:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160244,VAL_23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning trip,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ motor winding warning trip,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,0,-5,144744,0,0,0,0,classic,0,160244,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Motor_Winding_Temp_Trip:VALUE,3600,2,0,,0,,0,0,1,,1
pi:160836,VAL_23-TIC-96147:Z.Y.Value,PH 1stStg Comp Seal Gas Output,degC,0,2,Float32,1,PH 1stStg Comp Seal Gas Output,,0,0,0,0,VAL_23-TIC-96147:Z.Y.Value,0,-5,145336,0,0,0,0,classic,50,160836,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-TIC-96147:Z.Y.Value,3600,2,0,,0,,0,0,0,degC,100
pi:160259,VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE,PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip,,0,2,Digital,1,PH (SwitchGear) MV-COMP.M. FEEDER/ TCS Protection Trip,Valhall_True_False,147,0,0,0,VAL_23-KA-9101-M01_TCS_Protection_Trip:VALUE,0,-5,144759,0,0,0,0,classic,0,160259,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_TCS_Protection_Trip:VALUE,3600,2,0,,0,,0,0,1,,1
pi:161062,VAL_23-YZSL-92545-F:X.Value,PH 1st Stg Comp Disch BDV SOV ZSL Flt,,0,2,Digital,1,PH 1st Stg Comp Disch BDV SOV ZSL Flt,Valhall_True_False,147,0,0,0,VAL_23-YZSL-92545-F:X.Value,0,-5,145562,0,0,0,0,classic,0,161062,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-YZSL-92545-F:X.Value,3600,2,0,,0,,0,0,1,,1
pi:160670,VAL_23-PIC-96153:Control Module:YR,PH 1stStg Comp Inner Seal Working Setpoint,barg,0,2,Float32,1,PH 1stStg Comp Inner Seal Working Setpoint,,0,0,0,0,VAL_23-PIC-96153:Control Module:YR,0,-5,145170,0,0,0,0,classic,50,160670,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PIC-96153:Control Module:YR,3600,2,0,,0,,0,0,1,barg,100
pi:160566,VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE,PH (Profiler) Water deadband high setpoint,Kg/m3,0,2,Float32,1,PH (Profiler) Water deadband high setpoint,,0,0,0,0,VAL_23-LY-92529_Setpoints_SP_waterHi:VALUE,0,-5,145066,0,0,0,0,classic,50,160566,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_Setpoints_SP_waterHi:VALUE,3600,2,0,,0,,0,0,0,Kg/m3,100
pi:160030,VAL_23_FIC_92543_01:Z.X.Value,PH 1stStgComp AntiSrg Cntrl OP,,0,2,Float32,1,PH 1stStgComp AntiSrg Cntrl OP,,0,0,0,0,VAL_23_FIC_92543_01:Z.X.Value,0,-5,144530,0,0,0,0,classic,50,160030,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_FIC_92543_01:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160765,VAL_23-TE-96137-01:X.Value,PH 1stStg Mtr Cold Air,,0,2,Float32,1,PH 1stStg Mtr Cold Air,,0,0,0,0,VAL_23-TE-96137-01:X.Value,0,-5,145265,0,0,0,0,classic,50,160765,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-TE-96137-01:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160785,VAL_23-TIC-92604:Control Module:PD,PH 1stStgDiscCool Gas Out Derivate time,s,0,0,Float32,1,PH 1stStgDiscCool Gas Out Derivate time,,0,0,0,0,VAL_23-TIC-92604:Control Module:PD,0,-5,145285,0,0,0,0,classic,50,160785,LAB-WAS-VAL800,1,0,1,1,0,0,1,0,0,0,0,1,23-TIC-92604:Control Module:PD,86400,2,0,,0,,0,86400,0,s,100
pi:160223,VAL_23-KA-9101_EPR:VALUE,PH (CBM) 1st Stage ExpPress Ratio,,0,2,Float32,1,PH (CBM) 1st Stage ExpPress Ratio,,0,0,0,0,VAL_23-KA-9101_EPR:VALUE,0,-5,144723,0,0,0,0,classic,50,160223,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101_EPR:VALUE,3600,2,0,,0,,0,0,0,,100
pi:163659,VAL_45-TT-92607B:X.Value,PH 1stStgDiscClr CoolMed Out,,0,2,Float32,1,PH 1stStgDiscClr CoolMed Out,,0,0,0,0,VAL_45-TT-92607B:X.Value,0,-5,148159,0,0,0,0,classic,50,163659,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,45-TT-92607B:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160179,VAL_23-FI-92512A:X.Value,PH 1stStgSuctCool Gas In (Norm),,0,0,Float32,1,PH 1stStgSuctCool Gas In (Norm),,0,0,0,0,VAL_23-FI-92512A:X.Value,0,-5,144679,0,0,0,0,classic,50,160179,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-FI-92512A:X.Value,28800,2,0,,0,,0,600,0,,100
pi:160775,VAL_23-TIC-92504:Control Module:BX,PH 1stStgSuctCool Gas Out External,-,0,2,Digital,1,PH 1stStgSuctCool Gas Out External,Valhall_True_False,147,0,0,0,VAL_23-TIC-92504:Control Module:BX,0,-5,145275,0,0,0,0,classic,0,160775,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-TIC-92504:Control Module:BX,3600,2,0,,0,,0,0,1,-,1
pi:160632,VAL_23-PDT-92551:X.Value,PH 1stStgDiscCool Gas Out ESDV,,0,2,Float32,1,PH 1stStgDiscCool Gas Out ESDV,,0,0,0,0,VAL_23-PDT-92551:X.Value,0,-5,145132,0,0,0,0,classic,50,160632,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PDT-92551:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160560,VAL_23-LY-92529_Outputs_sandLevel:VALUE,PH (Profiler) % Scaled Level Output for Level F or Sand,%,0,2,Float32,1,PH (Profiler) % Scaled Level Output for Level F or Sand,,0,0,0,0,VAL_23-LY-92529_Outputs_sandLevel:VALUE,0,-5,145060,0,0,0,0,classic,50,160560,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-LY-92529_Outputs_sandLevel:VALUE,3600,2,0,,0,,0,0,0,%,100
pi:160182,VAL_23-FT-92512:X.Value,PH 1stStgSuctCool Gas In,,0,2,Float32,1,PH 1stStgSuctCool Gas In,,0,0,0,0,VAL_23-FT-92512:X.Value,0,-5,144682,0,0,0,0,classic,50,160182,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-FT-92512:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160729,VAL_23-PT-96160:Z.X2.Value,PH 1st Stg Comp Separation Gas,,0,2,Float32,1,PH 1st Stg Comp Separation Gas,,0,0,0,0,VAL_23-PT-96160:Z.X2.Value,0,-5,145229,0,0,0,0,classic,50,160729,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96160:Z.X2.Value,3600,2,0,,0,,0,0,0,,100
pi:160886,VAL_23-TT-92539:X.Value,PH 1stStgComp Discharge,DegC,0,2,Float32,1,PH 1stStgComp Discharge,,0,0,0,0,VAL_23-TT-92539:X.Value,0,-5,145386,0,0,0,0,classic,50,160886,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-TT-92539:X.Value,3600,2,0,,0,,0,0,0,DegC,100
pi:160925,VAL_23-TT-96132-01:Z.X.Value,PH 1stStg Journ BRG DE,,0,0,Float32,1,PH 1stStg Journ BRG DE,,0,0,0,0,VAL_23-TT-96132-01:Z.X.Value,0,-5,145425,0,0,0,0,classic,50,160925,LAB-WAS-VAL,1,0,1,1,0,0,1,0,0,0,0,1,23-TT-96132-01:Z.X.Value,28800,2,0,,0,,0,600,0,,100
pi:163523,VAL_45-PDT-92606:X.Value,PH 1stStgDiscCool CM,,0,2,Float32,1,PH 1stStgDiscCool CM,,0,0,0,0,VAL_45-PDT-92606:X.Value,0,-5,148023,0,0,0,0,classic,50,163523,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,45-PDT-92606:X.Value,3600,2,0,,0,,0,0,0,,100
pi:160732,VAL_23-PT-96186:Z.X2.Value,PH 1st Stg Oil Header,,0,2,Float32,1,PH 1st Stg Oil Header,,0,0,0,0,VAL_23-PT-96186:Z.X2.Value,0,-5,145232,0,0,0,0,classic,50,160732,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-PT-96186:Z.X2.Value,3600,2,0,,0,,0,0,0,,100
pi:160261,VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE,PH (SwitchGear),degC,0,2,Float32,1,PH (SwitchGear),,0,0,0,0,VAL_23-KA-9101-M01_Winding_Temperature_U1:VALUE,0,-5,144761,0,0,0,0,classic,50,160261,VLH_PCN5,1,0,7,1,0,0,1,1,0,0,0,1,23-KA-9101-M01_Winding_Temperature_U1:VALUE,3600,2,0,,0,,0,0,0,degC,100
pi:160068,VAL_23_KA_9101_M01_62C:Z.X.Value,PH 1stStg Comp Mtr Current,,0,2,Float32,1,PH 1stStg Comp Mtr Current,,0,0,0,0,VAL_23_KA_9101_M01_62C:Z.X.Value,0,-5,144568,0,0,0,0,classic,50,160068,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23_KA_9101_M01_62C:Z.X.Value,3600,2,0,,0,,0,0,0,,100
pi:160500,VAL_23-LIC-92521:Z.Y.Value,PH 1stStgSuctScrubber Level Output,%,0,2,Float32,1,PH 1stStgSuctScrubber Level Output,,0,0,0,0,VAL_23-LIC-92521:Z.Y.Value,0,-5,145000,0,0,0,0,classic,50,160500,VLH_PCN1,1,0,7,1,0,0,1,1,0,0,0,1,23-LIC-92521:Z.Y.Value,3600,2,0,,0,,0,0,0,%,100
